sampleDate,MCurtis-1,Bluffers-10,Rouge-11,Sunnyside-2,Hanlans-3,Gibraltar-4,Centre-5,Wards-6,Cherry-7,Woodbine-8,KewBalmy-9
2009-06-01,27,12,39,28,11,18,24,63,51,10,10
2009-06-02,10,14,52,16,10,18,22,18,19,10,10
2009-06-03,22,11,14,10,10,11,14,10,10,10,10
2009-06-04,26,10,11,10,10,11,11,10,10,10,10
2009-06-05,35,10,31,11,10,10,10,12,10,10,10
2009-06-06,133,13,29,18,12,10,12,16,10,12,10
2009-06-07,604,16,20,97,37,28,41,47,10,12,11
2009-06-08,405,17,99,142,31,33,43,39,10,10,12
2009-06-09,nan,37,368,63,11,20,16,11,12,18,34
2009-06-10,170,25,155,26,11,18,21,11,12,18,31
2009-06-11,62,10,27,12,10,11,17,11,10,10,10
2009-06-12,26,14,61,14,10,10,11,12,11,13,14
2009-06-13,114,14,46,20,10,10,12,15,14,13,14
2009-06-14,219,10,11,19,11,10,13,16,15,10,11
2009-06-15,199,10,13,14,11,10,13,11,13,10,11
2009-06-16,47,10,28,16,10,10,15,10,11,10,12
2009-06-17,62,60,138,37,11,10,14,10,11,50,81
2009-06-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-19,343,315,86,65,11,10,13,33,46,88,108
2009-06-20,758,425,101,63,nan,nan,nan,nan,206,61,93
2009-06-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-28,nan,28,nan,34,nan,nan,nan,nan,351,31,40
2009-06-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-03,nan,nan,nan,38,nan,nan,nan,nan,nan,nan,nan
2009-07-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-09,nan,15,nan,nan,nan,nan,nan,nan,15,11,16
2009-07-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-07-15,nan,18,nan,15,nan,nan,nan,nan,nan,25,32
